Date,Open,High,Low,Close,Adj Close,Volume
2018-03-30,715,359.0,353.0,379.2,350.0,360.0
2018-03-23,715,357.0,352.0,379.2,350.0,370.0
2018-03-16,715,341.0,349.0,379.2,350.0,370.0
2018-03-09,715,330.0,346.0,379.2,350.0,370.0
2018-03-02,715,327.0,343.0,379.2,350.0,365.0
2018-02-23,715,329.0,343.0,392.7,350.0,340.0
2018-02-16,715,330.0,343.0,392.7,350.0,340.0
2018-02-09,715,337.0,353.0,392.7,350.0,345.0
2018-02-02,715,345.0,359.0,392.7,350.0,355.0
2018-01-26,715,356.0,360.0,374.0,350.0,365.0
2018-01-19,715,361.0,348.0,374.0,350.0,370.0
2018-01-12,715,354.0,343.0,374.0,350.0,360.0
2018-01-05,715,349.0,342.0,305.5,350.0,360.0
2017-12-29,685,348.0,342.0,305.5,350.0,360.0
2017-12-22,685,348.0,342.0,305.5,350.0,360.0
2017-12-15,685,346.0,339.0,305.5,350.0,355.0
2017-12-08,685,341.0,333.0,305.5,350.0,350.0
2017-12-01,685,328.0,332.0,277.1,347.0,340.0
2017-11-24,685,319.0,323.0,277.1,325.0,335.0
2017-11-17,685,301.0,313.0,277.1,325.0,330.0
2017-11-10,685,302.0,303.0,277.1,325.0,315.0
2017-11-03,685,308.0,295.0,277.1,322.0,310.0
2017-10-27,685,310.0,295.0,275.8,322.0,305.0
2017-10-20,685,319.0,295.0,275.8,322.0,305.0
2017-10-13,685,328.0,296.0,274.8,322.0,305.0
2017-09-29,645,329.0,308.0,275.7,351.0,315.0
2017-09-22,645,326.0,303.0,275.7,351.0,325.0
2017-09-15,645,316.0,297.0,275.7,351.0,325.0
2017-09-08,645,303.0,297.0,275.7,351.0,325.0
2017-09-01,645,302.0,297.0,264.6,337.0,325.0
2017-08-25,645,300.0,287.0,264.6,337.0,335.0
2017-08-18,645,288.0,269.0,264.6,337.0,325.0
2017-08-11,645,273.0,263.0,264.6,282.0,310.0
2017-08-04,645,258.0,260.0,264.6,282.0,295.0
2017-07-28,645,254.0,256.0,226.2,282.0,295.0
2017-07-21,645,253.0,254.0,226.2,282.0,285.0
2017-07-14,645,257.0,242.0,226.2,282.0,265.0
2017-07-07,645,261.0,242.0,226.2,282.0,265.0
2017-06-30,635,261.0,242.0,221.1,280.0,260.0
2017-06-23,635,250.0,239.0,221.1,280.0,264.0
2017-06-16,635,240.0,230.0,221.1,280.0,260.0
2017-06-09,635,239.0,229.0,221.0,280.0,240.0
2017-06-02,635,239.0,229.0,221.0,280.0,240.0
2017-05-26,635,246.0,227.0,241.6,280.0,250.0
2017-05-19,635,250.0,229.0,241.6,280.0,240.0
2017-05-12,635,254.0,230.0,241.6,280.0,240.0
2017-04-28,635,260.0,262.0,259.5,280.0,255.0
2017-04-21,635,263.0,272.0,259.5,280.0,265.0
2017-04-14,635,264.0,277.0,259.5,280.0,270.0
2017-04-07,635,271.0,279.0,259.5,280.0,270.0
2017-03-31,620,277.0,284.0,258.9,280.0,280.0
2017-03-24,620,284.0,284.0,258.9,280.0,290.0
2017-03-17,620,278.0,279.0,258.9,279.0,305.0
2017-03-10,620,263.0,264.0,258.9,279.0,305.0
2017-03-03,620,252.0,252.0,258.9,279.0,290.0
2017-02-24,620,252.0,245.0,253.7,279.0,285.0
2017-02-17,620,255.0,247.0,253.7,279.0,265.0
2017-02-10,620,256.0,248.0,253.7,279.0,255.0
2017-02-03,620,264.0,253.0,253.7,279.0,245.0
2017-01-27,620,270.0,255.0,253.4,279.0,250.0
2017-01-20,620,270.0,256.0,253.4,279.0,270.0
2017-01-13,620,280.0,257.0,253.4,279.0,280.0
2017-01-06,620,295.0,254.0,253.4,283.0,280.0
